tweet_id,tweet_time,tweet_text,location,retweets
1446191903863627780,2021-10-07 19:13:13,"@OMAR18GT Vaccine side effects, never had one beforehand.","Houston, TX",0
1446156326971879429,2021-10-07 16:51:51,A young mom is dead today I’ll tell you why folks.She was forced to be vaccinated by her employer.She had severe side effects from the Covid vaccine and died.Pretty sure this is medical murder by the government if you ask me.Death sentence she was forced into it.,"Queens, NY",20
1446079491059687440,2021-10-07 11:46:32,"One cool thing about COVID, COVID vaccine shots, &amp; cancer— is the anxiety you get for free! Fear of the virus, fear of getting AND fear of NOT getting shots, fear of side effects of shots, fear of cancer growth/re-growth. Just a day in the life, I guess! 😩😅😈💃🏼💃🏼💃🏼","Royal Oak, MI",2
1445939745503256582,2021-10-07 02:31:14,COVID vaccine side effects https://t.co/KGYYPcdCn0,"Mississippi, USA",0
1445938883359821827,2021-10-07 02:27:48,COVID vaccine side effects https://t.co/KGYYPcdCn0,"Mississippi, USA",0
