tweet_id,tweet_time,tweet_text,location,retweets,vaccine
1.44143E+18,24/09/2021 16:06,@newsmax The VACCINE causes lots of damage! I was healthy before the jab which was mandated by my employer. I took the J&amp;J and have been sick ever since. It’s been 5 weeks!,Colorado,3,J&J
1.44139E+18,24/09/2021 13:14,"Fascinating example of presidential administration, with a disagreement between the agency head and the agency's advisory committee, scientific opinions, and policy judgments. https://t.co/DNJBWajvAo",Florida,5,J&J
1.44126E+18,24/09/2021 04:33,@zeynep @EricTopol I’m disappointed of the lack of information. I regret getting the J&amp;J vaccine now.,Oregon,1,J&J
1.44121E+18,24/09/2021 01:31,@sarahkhan556 Zero problems with the J &amp; J vaccine for me.,Illinois,0,J&J
1.44121E+18,24/09/2021 01:29,Why is the fed gov spending $2100 for monoclonal antibody treatments for people who refuse a $210 vaccine? J&amp;J vaccines based on 300 year old techn-Modurna &amp; Pfizer based on 30 year old tech.Monoclonal antibodies are less than a year old and are completely experimental!,Michigan,0,J&J
1.44121E+18,24/09/2021 01:27,"What are the odds that someone who had J&amp;J and then an mRNA booster would get seriously ill from the vaccine, compared to their odds of having nasty outcomes from catching COVID after being refused a booster for their less-effective vaccine?",Massachusetts,1,J&J
1.44121E+18,24/09/2021 01:24,The thing that the public health authorities owe us on mixing and matching is a clear explanation of why they don't believe mixing J&amp;J with mRNA vaccines is safe when it's being done in France and studies have been done conclusively with the very similar AZ vaccine. https://t.co/WWy24iomg2,Massachusetts,6,J&J
1.44121E+18,24/09/2021 01:12,"@j_lafo_ @EugeneDaniels2 Yes, the mu and lambda variants have shown resistance but the fact y’all are alive to tell your story shows the vaccine is still working 🙏🏾",North Carolina,0,J&J
1.44119E+18,23/09/2021 23:56,"In Hawaii, you cannot enter any business without a vaccine card or negative covid test within the last 24 hours. Masks are required at all times outside your home - to include the beach. https://t.co/N7p4cOursi",Virginia,0,J&J
1.44116E+18,23/09/2021 22:16,"@GovRonDeSantis Maybe if you would work with him instead of against him he maybe more apt to work with you,you are refusing mask mandates,you refuse to properly inform the public that the vaccine is safe,hell phyzer has been fda approved,I remember in January how you did push the J&amp;J.",Florida,0,J&J
1.44115E+18,23/09/2021 21:22,@KOLA95624349 @Shaine52441221 @thevirus1986 @J_Mei21 @TomiLahren @Meidas_Kiesha @AOC @YaOnlyLivvOnce @AlexaBliss_WWE @Paula_White @VP @IlhanMN @POTUS @IsraeliPM @jack @JoelOsteen @Pontifex @NorthKoreaDPRK @RealCandaceO @heathergtv @KayaJones @SpeakerPelosi @VinceMcMahon @IvankaTrump @BardiUpdatess @RonDeSantisFL @SenTedCruz @RonJohnsonWI @HARRISFAULKNER @EmilyCompagno @kayleighmcenany @JessicaTarlov @LeaderMcConnell @SashaBanksWWE @FoxNews @CNN @SenSchumer @BMeiselas @GavinNewsom @benshapiro @CarleyShimkus @JudgeJeanine @mtgreenee @ainsleyearhardt @SandraSmithFox @FLOTUS @ScottWalker @tedcruz @GovRonDeSantis @GovAndyBeshear For all this pushing yall do it's time those whom make this vaccine be held responsible and law suits shall start as it doesn't proof safety nor healing or helping one what does happen is sickness n  death may take you from your loved ones for all whom push it is responsible https://t.co/UMeMy0l4wL,Kentucky,0,J&J
1.44114E+18,23/09/2021 20:52,"@J_s_9229 @Imaimeemiami @Nashtfs @JennyErikson The vaccine makes it less likely for you to get the virus (among other things). So even if you DO get the virus, a vaccinated person is less likely to catch it from you then an unvaccinated person. It lessens the spread.",Oregon,0,J&J
1.44113E+18,23/09/2021 19:54,@KOLA95624349 @Shaine52441221 @thevirus1986 @J_Mei21 @TomiLahren @Meidas_Kiesha @AOC @YaOnlyLivvOnce @AlexaBliss_WWE @Paula_White @VP @IlhanMN @POTUS @IsraeliPM @jack @JoelOsteen @Pontifex @NorthKoreaDPRK @RealCandaceO @heathergtv @KayaJones @SpeakerPelosi @VinceMcMahon @IvankaTrump @BardiUpdatess @RonDeSantisFL @SenTedCruz @RonJohnsonWI @HARRISFAULKNER @EmilyCompagno @kayleighmcenany @JessicaTarlov @LeaderMcConnell @SashaBanksWWE @FoxNews @CNN @SenSchumer @BMeiselas @GavinNewsom @benshapiro @CarleyShimkus @JudgeJeanine @mtgreenee @ainsleyearhardt @SandraSmithFox @FLOTUS @ScottWalker @tedcruz @GovRonDeSantis @GovAndyBeshear Ya vaccine is weak n a lye to control God's children n make they blood unclean https://t.co/2FAZqsm4Uq,Kentucky,0,J&J
1.44113E+18,23/09/2021 19:53,"@UtahDepOfHealth I have the J&amp;J vaccine in March. Had a little cough next day bad cough, 4days hurting cough, better but not recovered.Yes I tested positive.@POTUS&amp; @GovCox @LGHendersonUtah Our state &amp; federal government has has failed to produce millions of free K95 masks. WHY https://t.co/92Px8G1Z4c",Utah,1,J&J
1.44113E+18,23/09/2021 19:50,"@trenthead I have the J&amp;J vaccine in March. Had a little cough next day bad cough, 4days hurting cough, better but not recovered.Yes I tested positive.@POTUS&amp; @GovCox @LGHendersonUtah @UtahDepOfHealth Our state &amp; federal government has has failed to produce millions of free K95 masks. WHY https://t.co/Rih2hkPuh2",Utah,1,J&J
1.44112E+18,23/09/2021 19:27,@KOLA95624349 @Shaine52441221 @thevirus1986 @J_Mei21 @TomiLahren @Meidas_Kiesha @AOC @YaOnlyLivvOnce @AlexaBliss_WWE @Paula_White @VP @IlhanMN @POTUS @IsraeliPM @jack @JoelOsteen @Pontifex @NorthKoreaDPRK @RealCandaceO @heathergtv @KayaJones @SpeakerPelosi @VinceMcMahon @IvankaTrump @BardiUpdatess @RonDeSantisFL @SenTedCruz @RonJohnsonWI @HARRISFAULKNER @EmilyCompagno @kayleighmcenany @JessicaTarlov @LeaderMcConnell @SashaBanksWWE @FoxNews @CNN @SenSchumer @BMeiselas @GavinNewsom @benshapiro @CarleyShimkus @JudgeJeanine @mtgreenee @ainsleyearhardt @SandraSmithFox @FLOTUS @ScottWalker @tedcruz @GovRonDeSantis @GovAndyBeshear Your minds are little to not see this as you stand against thy unknown of vaccine you forget of what ichrist Jesus came to teach for all unclean things are to be removed from you so you may be clean to the creator whom created u 4 if you think a child of rape is clean ur a fool,Kentucky,0,J&J
1.44109E+18,23/09/2021 17:27,@TenaciousLeeTV @Joebattista2 @SSBGoku2621 @Dila1Komala @MWvonWalter @catturd2 @TitskiMcGeeski 100% agree. My son had the “Walmart” J&amp;J. Thewhole thing is a mess and I appreciate your views and your own experience with this. I’m not ever gonna push the vaccine on anyone. One has to do the due diligence and make the choice that’s best for them.,Ohio,0,J&J
1.44102E+18,23/09/2021 12:46,"@makominogue Yep. So, you had to get polio, small pox, measles, typhoid vaccines, and a raft of others… but you’re afraid to get the j&amp;j COVID vaccine? https://t.co/wrQNMkD1Cc",Virginia,0,J&J
1.44088E+18,23/09/2021 03:16,@PreetBharara J &amp;J makes eye drops too. That's a great vehicle. Imodium too. So many possibilities. They have hundreds of products to sneak in some vaccine!,Colorado,0,J&J
1.44086E+18,23/09/2021 02:17,"Active US Navy Commander J.H. Furman appears on Tucker Carlson after writing an open letter rejecting vaccine mandate, says he is not worried about being relieved of duty, “That oath is to the Constitution. I do not swear alliance to any leadership. I swore an oath to the US",California,6,J&J
1.44082E+18,22/09/2021 23:42,"Just saw that the morally compromised Catholic leaders in St. Louis and New Orleans have proclaimed the J and J vaccine ""morally compromised"". This may be old news. I used to be a member of this cult. How about pedophiles in the priesthood? Not ""morally compromised enough""?",New Hampshire,0,J&J
1.44081E+18,22/09/2021 23:01,I wish that high risk J &amp; J Covid vaccine recipients got the 2nd shot option way sooner.,New York,3,J&J
1.4408E+18,22/09/2021 22:10,@VP Why are we always buying the Pfizer vaccine??  How many people from third world countries are going to come back for a second shot.??  Whats wrong w the J and J vaccine??  How much are we paying for each??,Illinois,0,J&J
1.44078E+18,22/09/2021 20:39,"@Patterdude I had the J&amp;J and am soooo confused. If the second shot boosts efficacy, why didn’t they just make it a 2 dose vaccine? #somanyquestions",California,0,J&J
1.4407E+18,22/09/2021 15:11,"Attention Bearcats! This Thursday, September 23, is the last day to get the single dose J&amp;J vaccine! Students taking in-person or hybrid classes need to upload proof of Covid-19 vaccination to CUNYfirst by next Monday, September 27.#BaruchIsCampusReady #CUNY #COVID19vaccine https://t.co/Lc5ZJHgR6Q",New York,0,J&J
1.44066E+18,22/09/2021 12:43,@DrLeanaWen Appreciate your thorough update! There’s been such a paucity of information about the J&amp;J vaccine throughout the summer that having your expert insights is very welcome to those of us who got the single dose vaccine! 🙏,California,0,J&J
1.44066E+18,22/09/2021 12:35,@Kimber4631 @HazelJa89703242 @KP4033 @metalhead_j @dsquare77 @AvengerResister Where did you go to medical school? If you didn’t please stay home and don’t get others sick. We are all pretty done with those who refuse the vaccine and are prolonging the pandemic because they think they know more about the virus than the scientists.,Missouri,0,J&J
1.44054E+18,22/09/2021 04:39,"@paraVestibulum Wore mask. Cautious for months. Now there's a vaccine and treatment. Others, same demographic, said infection was inevitable, weren't cautious. I'm alive. Some of them are dead. So, yeah, fight the ""inevitable"". Science is always moving, often faster than we're aware of. ☮️",Wisconsin,0,J&J
1.44048E+18,22/09/2021 00:37,"@versifier146 @UncommonSensePA @GovernorTomWolf @famfirsthealth Actually, J&amp;J *is* claiming 100% protection against against severe/critical COVID-19, which seems remarkable. https://t.co/yvwgEVyumb",Pennsylvania,0,J&J
1.44045E+18,21/09/2021 23:03,@KOLA95624349 @Shaine52441221 @thevirus1986 @J_Mei21 @TomiLahren @Meidas_Kiesha @AOC @YaOnlyLivvOnce @AlexaBliss_WWE @Paula_White @VP @IlhanMN @POTUS @IsraeliPM @jack @JoelOsteen @Pontifex @NorthKoreaDPRK @RealCandaceO @heathergtv @KayaJones @SpeakerPelosi @VinceMcMahon @IvankaTrump @BardiUpdatess @RonDeSantisFL @SenTedCruz @RonJohnsonWI @HARRISFAULKNER @EmilyCompagno @kayleighmcenany @JessicaTarlov @LeaderMcConnell @SashaBanksWWE @FoxNews @CNN @SenSchumer @BMeiselas @GavinNewsom @benshapiro @CarleyShimkus @JudgeJeanine @mtgreenee @ainsleyearhardt @SandraSmithFox @FLOTUS @ScottWalker @tedcruz @GovRonDeSantis @GovAndyBeshear It's the truth as your vaccine makes blood that God gave u life with isn't pure like my blood God gave I life for so your choice was to become unpure of God's life he gave u https://t.co/ERyM8nZrwL,Kentucky,0,J&J
1.44041E+18,21/09/2021 20:25,Excellent news for all of us who had the J&amp;J vaccine.. https://t.co/8QmvE4T8Bx,Oregon,0,J&J
1.44036E+18,21/09/2021 17:16,"Will N.J. hospitals face a nursing shortage under vaccine mandates? They already are!This is happening in every state, unfortunately.COVID-19 deaths expected skyrocket out of control due to lack of nurses to take care of patients of all illnesses!https://t.co/Svd8811CvL",Virginia,0,J&J
1.44034E+18,21/09/2021 15:50,"@desmontilla @NBC12 If you are considering a J&amp;J vaccine, wait. Four days in and I can barely stand with shaking. I smell an exhaust like smell that I know isn't in my home. Every joint hurts, tingling below knees and hands and in face/lips. Touching my shins feels like a baseball bat to them",Georgia,0,J&J
1.44034E+18,21/09/2021 15:44,"If you are considering a J&amp;J vaccine, wait. Four days in and I can barely stand with shaking. I smell an exhaust like smell that I know isn't in my home. Every joint hurts, tingling below knees and hands and in face/lips. Touching my shins feels like a baseball bat to them",Georgia,1,J&J
1.44034E+18,21/09/2021 15:32,"2nd dose of J&amp;J #COVID19 vaccine after 2 months results in 94% protection, company says https://t.co/HZ3vBDQqNT",California,2,J&J
1.44034E+18,21/09/2021 15:30,J&amp;J booster shot increases vaccine's effectiveness to 94% - https://t.co/DO0Iq6ARTT,Florida,0,J&J
1.44032E+18,21/09/2021 14:06,An update from J&amp;J on its COVID vaccine and booster: https://t.co/UDiHWDMFtV,Indiana,0,J&J
1.44032E+18,21/09/2021 14:02,J and J vaccine has no mRNA so I guess it won't be Approved.,California,0,J&J
1.4403E+18,21/09/2021 13:18,"Day 4 after the J&amp;J vaccine. Numbness in face and lips, tingling and numbness in joints, arms, hands and legs. Blurry vision. Feel like I have ran a marathon after not training for 20 years and my muscles said to 'hell with you'.",Georgia,0,J&J
1.4403E+18,21/09/2021 13:01,"New studies indicate the J&amp;J vaccine retains its effectiveness over time, staying steady at 81%, and that a booster shot might raise it to 94% or more. Awaiting peer reviews.https://t.co/VigI0AGCt7",California,0,J&J
1.4403E+18,21/09/2021 12:57,"J&amp;J's vaccine gives 100% protection from severe COVID-19 after a 2nd dose, study says — comparable to the Pfizer or Moderna shots https://t.co/CBfZRwICbd via @businessinsider",New York,0,J&J
1.44029E+18,21/09/2021 12:11,J&amp;J Says Covid-19 Vaccine Booster Two Months After First Shot Increases Protection https://t.co/mVGtJDI5Ml,New York,0,J&J
1.44028E+18,21/09/2021 11:28,J&amp;J Says Covid-19 Vaccine Booster Two Months After First Shot Increases Protection https://t.co/VCZ5hGD72m,Illinois,0,J&J
1.44027E+18,21/09/2021 11:09,Here’s what I said back in January about the J&amp;J vaccine https://t.co/HI5mYXOgXs,Texas,44,J&J
1.44027E+18,21/09/2021 10:48,Some more information for those of us who got the J&amp;J.  https://t.co/X9Edmry3sO,New York,1,J&J
1.44015E+18,21/09/2021 03:11,"N.J. child care workers must get COVID vaccine or face regular tests, Murphy announces https://t.co/4ePccfhEtl",New Jersey,0,J&J
1.44012E+18,21/09/2021 00:59,Widow of N.J. Officer Who Died of COVID Says Son Wants to Mark 12th Birthday by Getting Vaccine https://t.co/GOlK37sHmi via @YahooEnt,California,0,J&J
1.43999E+18,20/09/2021 16:13,"@RepThomasMassie Why are the unvaccinated AFRAID of a vaccine created UNDER PRESIDENT tRUMP? Far right praised tRump for his push for a vaccine.... tRump gets what he asked for from Pfizer, Moderna, J&amp;J.... pretty much the ONLY thing his term can truly brag about. No vaccine? That’s hypocrisy.",Florida,0,J&J
