tweet_id,tweet_time,tweet_text,location,retweets
1446208037908201476,2021-10-07 20:17:20,"There is something rotten in Denmark, and now in Finland too!It is Moderna.https://t.co/RmF8LnTFn2","Ammon, ID",0
1446204121892081667,2021-10-07 20:01:46,why tf did these european countries suspend the usage of moderna’s covid 19 vaccine,"Century City, Los Angeles",0
1446168409620819968,2021-10-07 17:39:52,"Finland joins Sweden and Denmark in pausing Moderna COVID-19 vaccine. How will US officials respond? Sure, it will be typical “rare but recover quickly” response. Not helpful if happens to your child &amp; then tossed aside as acceptable collateral damage. https://t.co/t2wy7qOxqE","Minneapolis, MN",0
1446154353740505091,2021-10-07 16:44:00,@moderna_tx what gives with this booster shot ? It’s been six months since I got the vaccine and I ready for my booster.,"Brownsville, TX",0
1446146039975591939,2021-10-07 16:10:58,@ChinguivVFinland Follows Sweden and Denmark in Halting Use of Moderna Vaccine for Younger Age Group https://t.co/ttHFawLWto Download our app to read more at https://t.co/wyNoWR7Cq2,"California, USA",0
1446145721892106248,2021-10-07 16:09:42,Finland Follows Sweden and Denmark in Halting Use of Moderna Vaccine for Younger Age Group https://t.co/ttHFawLWto Download our app to read more at https://t.co/wyNoWR7Cq2,"California, USA",0
1446118625178316808,2021-10-07 14:22:02,@cvspharmacy @CVSHealth do you guys know that some of your pharmacies are giving third dose of the moderna vaccine? Third dose that isn’t authorized or approved yet? @CNN @MSNBC,"Atlanta, GA",0
1446101035966255111,2021-10-07 13:12:08,Sweden suspends Moderna vaccine for those 30 and under https://t.co/3wx8tHiiFN@adamcurry @THErealDVORAK,"Arlington, VA",0
1446085666736115713,2021-10-07 12:11:04,Denmark and Sweden Halt Use of Moderna COVID Vaccine for Everyone Under 30 via @WestJournalism https://t.co/tIlcm13Iuw,"Chester, VA",0
1446076214217691139,2021-10-07 11:33:30,Moderna plans to spend as much as $500 million to build a factory in Africa that could produce half a billion messenger RNA vaccine doses a year https://t.co/qLYxzW5I3n via @markets,"Minneapolis, MN",0
1446064736601268228,2021-10-07 10:47:54,So the vaccines are safe?  Maybe we do a little bit more testing before we give it to kids?https://t.co/qHRosAhWKy,"Palm Bay, FL",1
1446047782830284804,2021-10-07 09:40:32,What about Moderna’s Covid vaccine? Any numbers or studies on its effectiveness after a few months? @FranTVHost #11alivemorningnews,"Georgia, USA",0
1445981979413938176,2021-10-07 05:19:03,"BREAKING: Sweden, Denmark both ban Moderna covid vaccine for causing myocarditis in young people https://t.co/MWPT3EYmGo https://t.co/RncOUjTx1d","Gilroy, CA",0
1445973242007617536,2021-10-07 04:44:20,@StacyHopeSmall @US_FDA This article is interesting because it talks about J&amp;J people getting Pfizer booster shot https://t.co/hGrooAOzxm,"Wailuku, HI",0
1445970723403616260,2021-10-07 04:34:19,Moderna COVID vaccine booster dose results in immune memoryhttps://t.co/bdjqORnsHO,"Amityville, NY",0
1445969035083014146,2021-10-07 04:27:37,"If someone has been fully vaccinated with the Moderna vaccine, what is the timeline for a breakthrough COVID infection? One week give or take? Trying to protect my MIL after a friend tested positive. I can’t find the info. HELP. @ashishkjha","Washington, WV",0
1445968286018060289,2021-10-07 04:24:38,☝😮👆Denmark and Sweden Halt Use of Moderna COVID Vaccine for Everyone Under 30 via @WestJournalism https://t.co/itBEfxmYff,"Nashville, TN",0
1445915446138609665,2021-10-07 00:54:40,Denmark and Sweden Halt Use of Moderna COVID Vaccine for Everyone Under 30!,"Red Oak, TX",0
1445906254195396610,2021-10-07 00:18:09,Sweden suspends Moderna vaccine for those 30 and under https://t.co/sVcTWW2TZE,"University Place, WA",0
