tweet_id,tweet_time,tweet_text,location,retweets
1447657516872179712,2021-10-11 20:17:02,"I don’t like Biden either or agree with these mandates… But… Ted Cruz is fully vaccinated.Ted Cruz does everything he can to discourage people from getting the vaccine and saving their lives.Ted Cruz is a self centered, charlatan, hypocrite and pathological liar. https://t.co/LMHpcxpTYd","College Park, GA",0
1447628538211979270,2021-10-11 18:21:53,@MeetMeAtTapps @AveryGWilks The fact he says he is doing what is best for his family really got me…. Like if that were the case get the vaccine. Also Ted Lasso would get the vaccine dont quote him,"South Carolina, USA",0
1447584349264793606,2021-10-11 15:26:18,"@EmbIsthmus @jonnybgood1 @StringAndRudder @J_Shane_Kelley @David_Slotnick Not sure what legitimate study shows ""career ending side effects"", but there are plenty of them that show the devastating effects of ""long covid"".  And here's another.https://t.co/TfhefMTQXJ","Plano, TX",0
1447568313190604807,2021-10-11 14:22:35,"ATTN LIC: COVID-19 vaccines will be available @LaGuardiaCC through the @NYCHealthSystem Free COVID-19 Vaccination Clinic Van. DATE: Tue, Oct 12 – Sun, Oct 17TIME: 8:00 am – 6:00 pmLOCATION: The Van Dam entrance @LaGuardiaCC OFFERING:  Pfizer and J&amp;J vaccine","Washington, DC",6
1447389862437478401,2021-10-11 02:33:29,@teenysmolbirb Blame Southwest not the pilots. They are the scumbags who lied to you about the reason for cancelations and for forcing the pilots to take a vaccine to keep their job.,"Kissimmee, FL",0
1447351807915745281,2021-10-11 00:02:16,@Jessicam6946 @pearl_goldman What about J&amp;J booster?  I've had flu vaccine and original J&amp;J vaccine.,"Dennis Port, MA",1
