tweet_id,tweet_time,tweet_text,location,retweets
1447666469928685583,2021-10-11 20:52:37,Senior Army flight surgeon warns pilots could die in mid-flight from vaccine side effects - Washington Times https://t.co/hHkfs764D2,"Philadelphia, PA",0
1447633400773316611,2021-10-11 18:41:13,"@Blue_Texas2022 Yeah but discouraging others.  He complained loudly about supposed side effects,  ignoring the fact he's an old man with bad immune system,  and all the cocaine he stuck  up his nose has long term impact on his health.  But keys blame the vaccine...ass.","St George, UT",0
1447584349264793606,2021-10-11 15:26:18,"@EmbIsthmus @jonnybgood1 @StringAndRudder @J_Shane_Kelley @David_Slotnick Not sure what legitimate study shows ""career ending side effects"", but there are plenty of them that show the devastating effects of ""long covid"".  And here's another.https://t.co/TfhefMTQXJ","Plano, TX",0
1447565791797207041,2021-10-11 14:12:33,Wow! Against their will I’d imagine too! And I am sure they will leave out any adverse side effects from the vaccine https://t.co/z3g4uZCEix,"Gilbert, AZ",0
1447542126179504131,2021-10-11 12:38:31,@coreybking I took the COVID booster &amp; flu vaccine last Saturday 😫two sore arms no side effects 🙌🏽🙌🏽🙌🏽❤️,"Louisville, KY",0
1447459802225856517,2021-10-11 07:11:24,"@TwitrIsPublishr @realdcastillo @JackPosobiec *her, sorry.  But, of the hundreds of millions of people vaccinated, low rates of vaccine side effects.  You have more risk of a heart attack from natural causes.  And new-onset seizures in adults are rare.","Clearlake Oaks, CA",0
1447379823337213953,2021-10-11 01:53:35,@KwitFollowingMe @B52Malmet Apparently that was just a rumor. There were some staffing problems related to people staying home to monitor for side effects after getting vaccine.,"Anchorage, AK",0
1447364438571507722,2021-10-11 00:52:27,So let me see if I understand.They’d take the monoclonal antibodies and not know what’s in it or the side effects but won’t get the vaccine when the facts are out about it and known side effects 🤦🏾‍♂️🤷🏾‍♂️,"Georgia, USA",0
