tweet_id,tweet_time,tweet_text,location,retweets
1446610134843617282,2021-10-08 22:55:07,BREAKING: Iceland has halted Moderna's COVID-19 vaccine for all ages due to risk of heart inflammation.https://t.co/bPjQ9NSqReAnother one bites the dust,"Bend, OR",2
1446604118852706305,2021-10-08 22:31:13,"True, the FDA approved version of the vaccine isn't available in America yet. Everyone is going out and getting Phizer Moderna and j&amp;j and don't understand what the government just did. Employers requiring mandates is unconstitutional as long as the FDA vaccine is unavailable https://t.co/ebt2HBuZ8N","Bellevue, WA",1
1446584564869214216,2021-10-08 21:13:31,@Reuters Maybe Biden can push Moderna to come up w an Ebola vaccine! I hope Americans wouldn't have to die 1st.,"Tampa, FL",0
1446538600137510913,2021-10-08 18:10:52,"Moderna just unblinded the #TeenCove study- we are 50/50 - one son received the vaccine and the other the placebo, but he’s vaccinated now. Yay!   #GetVaxxed https://t.co/6faEvSXYUE","Worcester, MA",0
1446537616971735040,2021-10-08 18:06:57,Pfizer tested their Covid-19 vaccine on cloned primate kidney cells and begins protection degradation within a month of the second injection. Moderna used cloned human lung cells first and protection lasts longer. Which do you think is safer for children 12 and under?,"Ohio, USA",2
1446535728549089280,2021-10-08 17:59:27,For the skeptics https://t.co/DA7BMQLcDj,"Las Vegas, NV",0
1446535284636590081,2021-10-08 17:57:41,"Finland(8), Denmark(2), and Sweden(3) are all ranked in the top 10 in highest quality of life in the world. All three of these countries have banned the Moderna COVID vaccine for men under 30 due to its dangerous side-effects.","Las Vegas, NV",2
1446515124760612864,2021-10-08 16:37:35,If you’re a physician you shouldn’t be telling people lies that the Moderna vaccine causes foot problems. FFS.,"Pennsylvania, USA",0
1446504489121456131,2021-10-08 15:55:19,#dotlyoukonwhy  Finland joins Sweden and Denmark in limiting Moderna COVID-19 vaccine https://t.co/j9gjDvqHAN,"Aventura, FL",0
1446492650174038018,2021-10-08 15:08:16,"@WolfeCache @PeterHotez They halted Moderna.  The US is evaluating the Pfizer vaccine for children, at 1/3 the dose approved for adults.","Appleton, WI",0
1446460094363865099,2021-10-08 12:58:55,#PassingTheBuck Public sector responsibilities for public health and safety - and even foreign relations - are being shifted onto the shoulders of a few private sector innovators https://t.co/mUwGdQvq5C,"Fort Hunt, VA",0
1446445029459906561,2021-10-08 11:59:03,We opened at 295 today I need about 100 more of you suckas to tell y’all followers to get the moderna vaccine. Not any other one https://t.co/YVbfuzyyQv,"Missouri City, TX",0
1446444055307632643,2021-10-08 11:55:11,Y’all go get the vaccine so my moderna stocks and go up 😉 remember you’re killing people if you’re unvaccinated,"Missouri City, TX",0
1446393194342588416,2021-10-08 08:33:04,Finland limits Moderna COVID-19 vaccine https://t.co/N4N0i8l1T9 via @YouTube,"Vancouver, WA",0
1446378197625548812,2021-10-08 07:33:29,"@jtstokke So I Got Both Doses of “Moderna COVID-19 Vaccine” from my Pharmacist @ 30 days apart, I didn’t get sick I didn’t get a blood clot I didn’t even have a sore arm I guess I’m just lucky, Then they Replaced Both my Hips &amp; Said I Still need at least 3 more Surgeries to Walk🤦🏼‍♂️💧🇺🇸❤️","Taylor, MI",0
1446353368067149826,2021-10-08 05:54:49,"For subscribers: First COVID, now HIV. Moderna and San Diego researchers race to make a vaccine https://t.co/7a7TeMcBkS","Holtville, CA",0
1446309814452113413,2021-10-08 03:01:45,"For anyone that doesn't know this already. We need to all take our vaccines (Pfizer, or Moderna) so we can all finally get over the Pandemic. Please everyone take your vaccine. No you are not going to get chips injected, or become sterile, or anything else, and if you do let me","Kent, WA",0
1446306900417687552,2021-10-08 02:50:10,"So much is said, so much is not said. How are there mandatory vaccinations when Moderna joins Johnson &amp; Johnson on the suspect list? Scandinavia certainly knows there's definitely something wrong...https://t.co/xcKUiRc4Ja","Philadelphia, PA",0
1446305658060648489,2021-10-08 02:45:14,@KPCC Is the research truly there for this age group?https://t.co/Z1MtfymyL2,"Palm Bay, FL",0
1446293337133178883,2021-10-08 01:56:17,"@BrandonMcKean6 @FDA @YahooNews It still has EUA and is available. I believe it had been used quite a bit less than Moderna and Pfizer, particularly after the cerebral blood clot warning. Also, I think this is a vaccine the US has shipped a lot to other countries","Minnesota, USA",0
