tweet_id,tweet_time,tweet_text,location,retweets
1449087035160113157,2021-10-15 18:57:26,FDA ADVISORY PANEL UNANIMOUSLY ENDORSES MODERNA’S COVID VACCINE BOOSTER FOR SOME GROUPS – FDA advisory panel unanimously endorses Moderna’s Covid vaccine booster for some groups https://t.co/51Qm92kFXz via @statnews,"Ohio, USA",0
1449069896852246529,2021-10-15 17:49:20,My job is requiring us to get the vaccine soon and I don’t want to but I think I’m going with the J&amp;J vaccine. I don’t trust moderna or Pfizer.,"Georgia, USA",0
1449066623298535435,2021-10-15 17:36:20,"#BREAKING @US_FDA vaccine panel votes unanimously to approve @JNJNews booster for everyone who got the J&amp;J shot. All adults eligible, vs. just 65+ /high risk groups eligibility for @pfizer &amp; @moderna_tx boosters @KTVU https://t.co/SW9LHmIxzE","Oakland, CA",4
1449062838715179013,2021-10-15 17:21:17,"But we continue to shame young, healthy people who aren’t comfortable getting the shot https://t.co/tuCzL3TjZh","Rye, NY",0
1449060188342915072,2021-10-15 17:10:45,Immune responses from #Pfizer and #Moderna vaccines peak early and wane over 8 months. #JandJ vaccine peaks lower and wanes over 8 months. @NEJM.,"Newark, NJ",0
1449040469791477760,2021-10-15 15:52:24,Alabama Public Health has a Flu / COVID vaccine clinic planned for next Wednesday October 20 at the VFW Fairgrounds from 8-3. 3rd shots of Moderna are available if you meet of the conditions listed on the attached form. https://t.co/AbUZnMJBi7,"Fort Payne, AL",1
1449026694765899788,2021-10-15 14:57:40,"As an @FDA advisory panel discusses whether to recommend #JohnsonJohnson #COVID19 booster doses, new research suggests the one-shot vaccine produces a more durable immune response than the #Pfizer &amp; #Moderna shots, which have been found to wane over timehttps://t.co/2hf6AmJkeO","Pleasanton, CA",1
1449013591684919298,2021-10-15 14:05:36,I've had COVID( had an easy time with it) &amp; had the Moderna vaccine. I ain't taking the vaccine again! I felt as bad from the vaccine as I did from the virus.              ☝😂👍 https://t.co/RoETRIPb3p,"Nashville, TN",1
1448968832048111618,2021-10-15 11:07:44,"@TheView I regret getting the vaccine! I got the 2 shot stupid Moderna and it almost killed me. I have had Covid 3 times. Two times AFTER the Moderna fiasco. I will not take the booster, no way, no how, never!!! I want to live. I'm sick of being a guinea pig!!! Give this crap to celebs","De Pere, WI",0
1448952731650170887,2021-10-15 10:03:46,TODAY: an FDA advisory committee will vote on booster shots for the J &amp; J vaccine. Will they allow people to mix with Pfizer or Moderna? #abc7NY https://t.co/yXIdRywxf0,Brooklyn Army Terminal Covid Test Site,2
1448900637643706369,2021-10-15 06:36:45,"👀 “The data itself is not strong but it is certainly going in a direction that is supportable of this vote,” Moore said. SO WHAT DID THEY BASE THEIR DECISION ON??!https://t.co/UjlQA75s2P","Florida, USA",0
1448845824247672899,2021-10-15 02:58:57,"@zumikunwarui_ko I got two doses of the Moderna vaccine.The second day after the second shot, I felt bad, but by the third day after it, I returned to normal.","Waverly, MI",0
1448843786134634497,2021-10-15 02:50:51,@zumikunwarui_ko Did you receive the Moderna vaccine?hi🙋‍♂️🙋‍♂️🙋‍♂️,"Waverly, MI",0
1448827374435323907,2021-10-15 01:45:38,@evangelinaviniegra Pfizer 3rd done done ✅ with the latest flu shot 💉Hopefully Moderna and the rest gets approved for booster soon. #vaccine #covidvacccine #pfizer @ CVS Pharmacy https://t.co/K5gPg25wv6,"San Diego, CA",0
1448821358528323586,2021-10-15 01:21:44,"@VABVOX Yes. I'm trying to figure out timing of flu shot, shingles vaccine, and hopefully Moderna booster","Colorado, USA",0
1448820119115763728,2021-10-15 01:16:48,"@POTUS @maddowWHY IS Haiti sending Moderna vaccine that is close to expiring back to the U.S.?? Can't they ship to a country that will use it now? AND I do not want the booster only to find out it came ftom an ""expired"" batch!!","Yakima, WA",0
1448816124301250612,2021-10-15 01:00:56,FDA advisory panel unanimously endorses Moderna's Covid vaccine booster for some groups - STAT#thisisourshot #covid19 #covidvaccine #moderna #modernabooster #vaccinessavelives #vaccineswork ⁦@ThisIsOurShot⁩ ⁦@VacunateYa⁩  https://t.co/KwmMATWD1A,"Los Angeles, CA",1
